video_id;instance_id;ref_exp;ref_exp_difficulty;ref_exp_information;appearance;obj-static;category;location;motion;obj-motion;static
t0yPiWdkiwE;0;a white cat is running and playing;Non-trivial;Minimum Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
t0yPiWdkiwE;1;White licking her claws on the left;Non-trivial;Redundant Information;1.0;1.0;0.0;1.0;0.0;0.0;1.0
tXaY0GK_K9c;0;the duck is pecking around;Not a Referring Expression;Not Applicable;;;;;;;
tXaY0GK_K9c;1;White goose is standing on the right;Not a Referring Expression;Not Applicable;;;;;;;
tXaY0GK_K9c;2;a white duck in the middle is eating food;Not a Referring Expression;Not Applicable;;;;;;;
tXaY0GK_K9c;3;a gray and white bird is eating;Not a Referring Expression;Not Applicable;;;;;;;
tesuXmjcCZY;1;baby crawling in a green tube;Incorrect Referring Expression;Not Applicable;;;;;;;
tk1uyh9PWqk;0;man in black sweater is walking on the left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
tk1uyh9PWqk;1;woman waving the flags in the front right;Non-trivial;Redundant Information;0.0;0.0;0.0;1.0;0.0;0.0;0.0
tmSE9cH3PhM;0;a black dog on the bottom is running;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
tmSE9cH3PhM;1;black dog running on the grass;Not a Referring Expression;Not Applicable;;;;;;;
tzxlNL8fwQM;0;the front boy is jumping ;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
tzxlNL8fwQM;1;Man in black outfit jumping at the back;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
u1priZZzKjM;1;football flying into the goal;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
u1priZZzKjM;2;Ball is laying on the grass;Not a Referring Expression;Not Applicable;;;;;;;
uZg2ebSQCto;0;man in red shirt running to the right;Not a Referring Expression;Not Applicable;;;;;;;
uZg2ebSQCto;1;first man from the left running ;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
ujA9qrvYV2s;0;man walking with a woman on the beach;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
ujA9qrvYV2s;1;woman walking with a man on the beach;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
um9Wobg5P9Q;0;the kid is running;Non-trivial;Minimum Information;0.0;0.0;1.0;0.0;1.0;0.0;0.0
um9Wobg5P9Q;1;the seagull is flying around;Not a Referring Expression;Not Applicable;;;;;;;
um9Wobg5P9Q;2;bird flying;Not a Referring Expression;Not Applicable;;;;;;;
vIbSO5zAV_4;0;Dog walking around the man;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
vIbSO5zAV_4;1;man walking with a dog on the grass;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
w2nIfxcxruE;0;the kid in yellow is on her knees;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
w2nIfxcxruE;1;a baby in green is crawling;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;0.0;0.0;0.0
w2nIfxcxruE;2;baby in white hat sitting on the top right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
wXRKzhBYmWg;0;a woman is running and jumping;Non-trivial;Minimum Information;0.0;0.0;1.0;0.0;1.0;0.0;0.0
wXRKzhBYmWg;1;Woman in white blouse and black pants standing near the track;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
wXRKzhBYmWg;2;the first man in white shirt is sitting;Not a Referring Expression;Not Applicable;;;;;;;
xazi3V_diGU;0;a cat is walking inside a rotating wheel;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
xazi3V_diGU;1;cat is sitting under the wheel;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
xfFojpDDQz4;1;a man with black jacket in the middle is watching the car;Not a Referring Expression;Not Applicable;;;;;;;
xu0L4atB-kg;0;bird standing on the right;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
xu0L4atB-kg;1;the bird is rolling around in the corner of its cage;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
xw_j1UddF-s;0;a white dog is running from the back to front;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
xw_j1UddF-s;1;a person in black is walking;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
xw_j1UddF-s;2;white dog walking in the back;Not a Referring Expression;Not Applicable;;;;;;;
y4IlT_9NMHk;0;the right bird is walking;Not a Referring Expression;Not Applicable;;;;;;;
y4IlT_9NMHk;1;the left bird is walking;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
zITqe1ong0Q;0;a bird on the back of other bird with the same species is flying outside;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
zITqe1ong0Q;1;a bird on the left is flying;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
lh0AqlL53ac;0;a guy is on the right holding and eating a sandwich ;Non-trivial;Redundant Information;0;1;1;1;0;0;1
lh0AqlL53ac;1;a boy on the left with red hat is eating a sandwich;Non-trivial;Redundant Information;1;1;1;1;0;0;1
lifJLb-O7ag;0;white cat running on the sidewalk;Trivial (Single Object Category);Not Applicable;;;;;;;
lifJLb-O7ag;1;a white car is standing in a parking lot on a street;Not a Referring Expression;Not Applicable;;;;;;;
lifJLb-O7ag;2;black dog walking on the sideway;Trivial (Single Object Category);Not Applicable;;;;;;;
mF8PNKEnkJY;0;dog jumping to the woman;Trivial (Single Object Category);Not Applicable;;;;;;;
mF8PNKEnkJY;1;the person in blue shirt is dancing with a dog;Non-trivial;Redundant Information;1;0;1;0;0;1;0
mHFZCn-jRpE;0;an old car is turning upside down on a race road ;Non-trivial;Redundant Information;1;0;1;1;1;0;0
mHFZCn-jRpE;1;a man with orange shirt is sitting in the middle;Not a Referring Expression;Not Applicable;;;;;;;
moFXmbCl1dk;0;The black dog is standing near the stove;Non-trivial;Redundant Information;1;0;1;1;0;0;1
moFXmbCl1dk;1;black dog rolling;Non-trivial;Redundant Information;1;0;1;0;1;0;0
moFXmbCl1dk;2;Guy in white hoodie is playing with the dog;Trivial (Single Object Category);Not Applicable;;;;;;;
mppkGncJ12M;0;a brown wild cat is walking ;Trivial (Single Object Category);Not Applicable;;;;;;;
mppkGncJ12M;1;a man in front is running;Non-trivial;Redundant Information;0;0;1;1;1;0;0
n3DSSGWisgk;0;Guy in black jacket talking to the camera;Non-trivial;Redundant Information;1;0;1;0;0;0;1
n3DSSGWisgk;1;man in black shirt walking towards the camera;Non-trivial;Redundant Information;1;0;1;1;1;0;0
nI-_DF6vSRo;0;a man with white shirt is throwing a ball;Non-trivial;Redundant Information;1;0;1;0;0;1;1
nI-_DF6vSRo;1;a boy in red shirt is throwing a ball;Non-trivial;Redundant Information;1;0;1;0;0;1;1
nI-_DF6vSRo;2;basketball flying into the basket;Trivial (Single Object Category);Not Applicable;;;;;;;
ntbN0B2U7mg;0;a blue and white blob is rolling down a hill on the left;Non-trivial;Redundant Information;1;0;1;1;1;0;0
ntbN0B2U7mg;1;an orange and white blob is sliding on the right side;Non-trivial;Redundant Information;1;0;1;1;1;0;0
oxlsk5PcpJg;0;Man in blue kimono is rolling on the tatami;Non-trivial;Redundant Information;1;0;1;1;1;0;0
oxlsk5PcpJg;1;a white man in rolling in the front left;Non-trivial;Redundant Information;1;0;1;1;1;0;0
oxlsk5PcpJg;2;man with black belt crawling in the middle;Non-trivial;Redundant Information;1;0;1;1;1;0;0
oxlsk5PcpJg;3;a man with white shirt on the back left;Incorrect Referring Expression;Not Applicable;;;;;;;
oxlsk5PcpJg;4;man in black bell crawling on the left;Not a Referring Expression;Not Applicable;;;;;;;
p55k91lyJf4;0;man holding a baby on left;Non-trivial;Redundant Information;0;1;1;1;0;0;1
p55k91lyJf4;1;violet car is dancing in the middle;Non-trivial;Redundant Information;1;0;1;1;1;0;0
p55k91lyJf4;2;man in gray shirt and black pants standing next to the car;Non-trivial;Redundant Information;1;0;1;1;0;0;1
pwmtkiL-lVw;0;football jumping to the ground;Not a Referring Expression;Not Applicable;;;;;;;
pwmtkiL-lVw;1;the left orange ball is sitting on top of another balls;Not a Referring Expression;Not Applicable;;;;;;;
pwmtkiL-lVw;2;the second ball is thrown;Incorrect Referring Expression;Not Applicable;;;;;;;
pwmtkiL-lVw;3;Black white ball falling down on the floor;Not a Referring Expression;Not Applicable;;;;;;;
q0CYwoDlf6Q;0;Guy in yellow shirt standing near the hurdles;Non-trivial;Redundant Information;1;0;1;1;0;0;1
q0CYwoDlf6Q;1;woman in white top and black shorts walking on the running track;Non-trivial;Redundant Information;1;0;1;1;1;0;0
q0CYwoDlf6Q;2;Woman in the blue shirt is standing on the track;Non-trivial;Redundant Information;1;0;1;1;0;0;1
q0CYwoDlf6Q;3;topless man jumping into the sand pit;Non-trivial;Redundant Information;1;0;1;1;1;0;0
q4ZVjYbBmD0;0;Blue ball is rolling on the grass;Trivial (Single Object Category);Not Applicable;;;;;;;
q4ZVjYbBmD0;1;dog is pushing a ball in front of its head;Trivial (Single Object Category);Not Applicable;;;;;;;
sDCqW7pFNfI;0;White brown dog walking on the beach near the water;Non-trivial;Redundant Information;1;0;1;1;1;0;0
sDCqW7pFNfI;1;a black dog is running;Not a Referring Expression;Not Applicable;;;;;;;
sULsOQDaDw0;0;a person is walking backwards while being followed by a dog;Trivial (Single Object Category);Not Applicable;;;;;;;
sULsOQDaDw0;1;a black dog is crawling;Trivial (Single Object Category);Not Applicable;;;;;;;
sdZ76vwl61Q;0;Beautiful parrot walking on the table;Trivial (Single Object Category);Not Applicable;;;;;;;
sdZ76vwl61Q;1;Man is touching a table;Trivial (Single Object Category);Not Applicable;;;;;;;
spEcZ-Ddbug;0;a woman with black hair is eating a hamburger;Non-trivial;Redundant Information;1;1;1;0;0;0;1
spEcZ-Ddbug;1;woman in sunglass sitting on the right;Non-trivial;Redundant Information;1;0;1;1;0;0;1
sqpOl9AjsDY;0;yellow racing car running;Non-trivial;Redundant Information;1;0;1;0;1;0;0
sqpOl9AjsDY;1;racing car running in the far left;Non-trivial;Redundant Information;0;0;1;1;1;0;0
sqpOl9AjsDY;2;blue racing car running on the track;Incorrect Referring Expression;Not Applicable;;;;;;;
sqpOl9AjsDY;3;Blue formula car is following yellow car of the leader;Non-trivial;Redundant Information;1;0;1;1;0;0;0
sqpOl9AjsDY;4;F1 car running on the left of the track;Not a Referring Expression;Not Applicable;;;;;;;
t4U53yCBarY;0;Dog rolling on the grass;Trivial (Single Object Category);Not Applicable;;;;;;;
t4U53yCBarY;1;man in black shorts standing on the left;Trivial (Single Object Category);Not Applicable;;;;;;;
tUfJLX-JfzE;0;Woman in red standing near the net;Not a Referring Expression;Not Applicable;;;;;;;
tUfJLX-JfzE;1;a woman in dark red is standing in front of the camera;Non-trivial;Redundant Information;1;0;1;1;0;0;1
tUfJLX-JfzE;2;the person in red on the left is standing;Non-trivial;Redundant Information;1;0;1;1;0;0;1
tUfJLX-JfzE;3;Ball is held by the man in the back;Trivial (Single Object Category);Not Applicable;;;;;;;
tnz-_MYR5AE;0;a guy with red shirt is walking with a dog;Trivial (Single Object Category);Not Applicable;;;;;;;
tnz-_MYR5AE;1;Dog walking on snow from the right side of the man;Non-trivial;Redundant Information;0;0;1;1;1;0;0
tnz-_MYR5AE;2;dog walking with a man on the left;Non-trivial;Redundant Information;0;0;1;1;1;0;0
u3vGTSqXLeI;0;the cat is hopping off the roof of the house and onto the roof of the car;Trivial (Single Object Category);Not Applicable;;;;;;;
u3vGTSqXLeI;1;white car in the garage;Not a Referring Expression;Not Applicable;;;;;;;
u78rD9b5qYE;0;man is crawling in the gym;Trivial (Single Object Category);Not Applicable;;;;;;;
u78rD9b5qYE;1;a dog is sleeping in the back;Trivial (Single Object Category);Not Applicable;;;;;;;
u78rD9b5qYE;2;Black ball laying near green wall;Not a Referring Expression;Not Applicable;;;;;;;
u78rD9b5qYE;3;black ball in the back;Not a Referring Expression;Not Applicable;;;;;;;
u78rD9b5qYE;4;the athletic apparatus is laying along the wall;Incorrect Referring Expression;Not Applicable;;;;;;;
u78rD9b5qYE;5;Black grey ball laying near the blue wall;Not a Referring Expression;Not Applicable;;;;;;;
uxNqb2dbuZk;0;baby sitting on to the ground;Trivial (Single Object Category);Not Applicable;;;;;;;
uxNqb2dbuZk;1;pink ball rolling;Trivial (Single Object Category);Not Applicable;;;;;;;
v9GlKrSc2Zs;0;the small dog on the right is walking;Non-trivial;Redundant Information;1;0;1;1;1;0;0
v9GlKrSc2Zs;1;Woman is walking with the dogs in the forest;Trivial (Single Object Category);Not Applicable;;;;;;;
v9GlKrSc2Zs;2;a big black dog in the middle is walking;Non-trivial;Redundant Information;1;0;1;1;1;0;0
v9GlKrSc2Zs;3;gray dog walking with a woman on the left;Non-trivial;Redundant Information;1;0;1;1;1;0;0
v9GlKrSc2Zs;4;a white dog on the left is eating;Non-trivial;Redundant Information;1;0;1;1;0;0;1
v9GlKrSc2Zs;5;the brown and black dog is running;Non-trivial;Redundant Information;1;0;1;0;1;0;0
vDE-jmXxRhY;0;Gray car is running on the right;Non-trivial;Redundant Information;1;0;1;1;1;0;0
vDE-jmXxRhY;1;a black car is moving on the left;Not a Referring Expression;Not Applicable;;;;;;;
vDE-jmXxRhY;2;a white car in front is moving;Non-trivial;Redundant Information;1;0;1;1;1;0;0
vDE-jmXxRhY;3;car turning in the front;Not a Referring Expression;Not Applicable;;;;;;;
vJFolhUfQjc;0;a woman in green cover is walking and talking;Non-trivial;Redundant Information;1;0;1;0;1;0;1
vJFolhUfQjc;1;the right person in red shirt is walking on the back;Non-trivial;Redundant Information;1;0;1;1;1;0;0
vLzxe1hxsV4;0;a black cat is playing with a ball;Incorrect Referring Expression;Not Applicable;;;;;;;
vLzxe1hxsV4;1;White ball rolling on the green grass;Trivial (Single Object Category);Not Applicable;;;;;;;
vLzxe1hxsV4;2;the man is playing goalkeeper against a dog;Trivial (Single Object Category);Not Applicable;;;;;;;
vNvjtyUh2OM;0;Dog is running down the stairs;Trivial (Single Object Category);Not Applicable;;;;;;;
vNvjtyUh2OM;1;a green ball is rolling though the stairs;Trivial (Single Object Category);Not Applicable;;;;;;;
vbNpHomJ-8Y;0;Woman is walking with two dogs;Trivial (Single Object Category);Not Applicable;;;;;;;
vbNpHomJ-8Y;1;a dog is watching the camera;Not a Referring Expression;Not Applicable;;;;;;;
vbNpHomJ-8Y;2;black dog walking with a woman;Not a Referring Expression;Not Applicable;;;;;;;
vsyCFDG0sZ4;0;Man in white track suit is running ;Non-trivial;Redundant Information;1;0;1;0;1;0;0
vsyCFDG0sZ4;1;man in red is running on the left;Non-trivial;Redundant Information;1;0;1;1;1;0;0
vz6e1L5knNk;0;car bouncing up and down;Trivial (Single Object Category);Not Applicable;;;;;;;
vz6e1L5knNk;1;Guy in white shirt and cap filming the car from the left side;Non-trivial;Redundant Information;1;0;1;1;0;0;1
w7WdY5sf3VM;0;Parrot climbing a rope in front a mirror;Non-trivial;Redundant Information;0;0;1;1;1;0;0
w7WdY5sf3VM;1;Reflection of the wavy parrot climbing the rope;Non-trivial;Redundant Information;1;0;1;1;1;0;0
wqDHV3IaI_A;0;a baby on the bottom is lying in the bed;Trivial (Single Object Category);Not Applicable;;;;;;;
wqDHV3IaI_A;1;the brown cat is rotating;Trivial (Single Object Category);Not Applicable;;;;;;;
x0df1JXqcXE;0;Guy in all black kicking a ball;Non-trivial;Redundant Information;1;1;1;0;0;0;1
x0df1JXqcXE;1;ball flying into the sky;Trivial (Single Object Category);Not Applicable;;;;;;;
x0df1JXqcXE;2;a man in green tshirt is giving a pass;Non-trivial;Redundant Information;1;0;1;0;0;0;1
xAJlcQPoKv4;0;a brown dog is walking;Trivial (Single Object Category);Not Applicable;;;;;;;
xAJlcQPoKv4;1;man in green top walking with a woman;Non-trivial;Redundant Information;1;0;1;1;1;0;0
xrTQfifI0No;0;a black dog is walking on the left;Trivial (Single Object Category);Not Applicable;;;;;;;
xrTQfifI0No;1;the toddler in a yellow shirt is walking a black lab;Trivial (Single Object Category);Not Applicable;;;;;;;
y5AdnvKskoo;0;white dog running;Non-trivial;Redundant Information;1;0;1;0;1;0;0
y5AdnvKskoo;1;black car parking by the fence;Trivial (Single Object Category);Not Applicable;;;;;;;
ylzhY6Uy_Mg;0;Instructor is standing behind the obstacle course;Non-trivial;Redundant Information;0;0;1;1;0;0;1
ylzhY6Uy_Mg;1;man crawling in the front;Non-trivial;Redundant Information;0;0;1;1;1;0;0
ylzhY6Uy_Mg;2;Soldier running through forrest;Not a Referring Expression;Not Applicable;;;;;;;
yxxC5XKD4i0;0;a white cat is crawling through a bar ;Not a Referring Expression;Not Applicable;;;;;;;
yxxC5XKD4i0;1;right cat climbing;Non-trivial;Redundant Information;1;0;1;0;1;0;0
zRxSQohMkyQ;0;a black dog is jumping up the fences;Trivial (Single Object Category);Not Applicable;;;;;;;
zRxSQohMkyQ;1;a person in white jacket is standing;Trivial (Single Object Category);Not Applicable;;;;;;;
-AyZV127fCg;0;a man with white shirt is nearby car ;Not a Referring Expression;Not Applicable;;;;;;;
-AyZV127fCg;1;Guy in black shirt standing near man in white shirt and green car;Not a Referring Expression;Not Applicable;;;;;;;
-AyZV127fCg;2;green car jumping up and down;Trivial (Single Object Category);Not Applicable;;;;;;;
-AyZV127fCg;3;a person in red tshirt is standing on the left;Non-trivial;Redundant Information;1;0;1;1;0;0;1
-AyZV127fCg;4;a man is standing and watching on the behind;Not a Referring Expression;Not Applicable;;;;;;;
-AyZV127fCg;5;a man in black is standing on back of the car;Non-trivial;Redundant Information;1;0;1;1;0;0;1
-AyZV127fCg;6;man in white standing between a man in black and a man in white;Non-trivial;Redundant Information;1;0;1;1;0;0;1
-AyZV127fCg;7;Green car dancing in the middle;Trivial (Single Object Category);Not Applicable;;;;;;;
025gzoHW30M;0;a red bird on the left is sitting on top of a wall;Incorrect Referring Expression;Not Applicable;;;;;;;
025gzoHW30M;1;a reddish bird is eating on the left ;Non-trivial;Redundant Information;1;0;1;1;0;0;1
0lxhJQFzikQ;0;car jumping into the water;Non-trivial;Redundant Information;0;0;1;1;1;0;0
0lxhJQFzikQ;1;a car is parked on the left;Non-trivial;Redundant Information;0;0;1;1;0;0;1
1J67hpI4wOk;0;man climbing rocks in the center;Non-trivial;Redundant Information;0;0;1;1;1;0;0
1J67hpI4wOk;1;man in black jacket standing on the right;Non-trivial;Redundant Information;1;0;1;1;0;0;1
1NZgPOEn66U;0;white fuzzy dog is running in the corridor;Trivial (Single Object Category);Not Applicable;;;;;;;
1NZgPOEn66U;1;person walking the dog;Trivial (Single Object Category);Not Applicable;;;;;;;
3rbzcgnKWV8;0;man in blue shirt and dark blue short pants standing;Non-trivial;Redundant Information;1;0;1;0;0;0;1
3rbzcgnKWV8;1;man in white top standing in the center;Non-trivial;Redundant Information;1;0;1;1;0;0;1
3rbzcgnKWV8;2;a woman is jumping;Non-trivial;Minimum Information;0;0;1;0;1;0;0
3rbzcgnKWV8;3;woman in pink top and black shorts sitting on the left;Non-trivial;Redundant Information;1;0;1;1;0;0;1
3zsM3jBwWIM;0;green car running on the street;Trivial (Single Object Category);Not Applicable;;;;;;;
3zsM3jBwWIM;1;man in gray suits walking;Non-trivial;Redundant Information;1;0;1;0;1;0;0
3zsM3jBwWIM;2;man in gray top walking on the left;Non-trivial;Redundant Information;1;0;1;1;1;0;0
3zsM3jBwWIM;3;a man in white tshirt is walking;Non-trivial;Redundant Information;1;0;1;0;1;0;0
508xrJNlrE4;0;dog eating apple;Trivial (Single Object Category);Not Applicable;;;;;;;
508xrJNlrE4;1;a man giving an apple to his dog;Trivial (Single Object Category);Not Applicable;;;;;;;
5DEOQzI8_Mc;0;man in black top crawling;Non-trivial;Redundant Information;1;0;1;0;1;0;0
5DEOQzI8_Mc;1;naked man is crawling in the sand;Not a Referring Expression;Not Applicable;;;;;;;
5DEOQzI8_Mc;2;Half naked guy rolling in the back;Not a Referring Expression;Not Applicable;;;;;;;
5MgnA8i9GJE;0;man in red shirt shooting a basketball;Non-trivial;Redundant Information;1;0;1;0;1;1;0
5MgnA8i9GJE;1;a ball is flying toward the basket;Not a Referring Expression;Not Applicable;;;;;;;
5MgnA8i9GJE;2;a man in white short pant is throwing the ball;Non-trivial;Redundant Information;1;0;1;0;1;1;0
5MgnA8i9GJE;3;Orange ball flying on the basketball court;Not a Referring Expression;Not Applicable;;;;;;;
610oOuqMPJQ;0;truck jumping;Non-trivial;Minimum Information;0;0;1;0;1;0;0
610oOuqMPJQ;1;a man in black is watching;Not a Referring Expression;Not Applicable;;;;;;;
64kPeduPTwE;0;the light brown dog is running;Trivial (Single Object Category);Not Applicable;;;;;;;
64kPeduPTwE;1;woman sitting at the table;Trivial (Single Object Category);Not Applicable;;;;;;;
6cQFypxxnlQ;0;man in the yellow shirt is running first in the run;Non-trivial;Redundant Information;1;0;1;1;1;0;0
6cQFypxxnlQ;1;man in greenish tracksuit running on the middle track;Non-trivial;Redundant Information;1;0;1;1;1;0;0
6cQFypxxnlQ;2;Man in yellow shirt and black shorts is running during competition;Not a Referring Expression;Not Applicable;;;;;;;
6cQFypxxnlQ;3;a man in red is running;Non-trivial;Minimum Information;1;0;1;0;1;0;0
6cQFypxxnlQ;4;the first man from the bottom is running;Non-trivial;Minimum Information;0;0;1;1;1;0;0
6cQFypxxnlQ;5;a runner on the left of another runner with yellow shirt is running in a race;Not a Referring Expression;Not Applicable;;;;;;;
6cQFypxxnlQ;6;man in blue tracksuit is running during competition;Not a Referring Expression;Not Applicable;;;;;;;
6cQFypxxnlQ;7;man in blue shirt and black shorts running on the most far track;Non-trivial;Redundant Information;1;0;1;1;1;0;0
6cQFypxxnlQ;8;man in white top and black pants standing on the running track;Non-trivial;Redundant Information;1;0;1;1;0;0;1
6sGQPMg4Gqc;0;cat climbing the fence;Trivial (Single Object Category);Not Applicable;;;;;;;
6sGQPMg4Gqc;1;Pink ball is siting on the top of the fence;Trivial (Single Object Category);Not Applicable;;;;;;;
77CtRWUggp4;0;a man is standing on the right and watching the competition;Not a Referring Expression;Not Applicable;;;;;;;
77CtRWUggp4;1;Man in blue jacket standing on the right;Non-trivial;Redundant Information;1;0;1;1;0;0;1
77CtRWUggp4;2;the number 6 black greyhound is running in a dog race;Non-trivial;Redundant Information;1;0;1;0;1;0;0
77CtRWUggp4;3;a dog with yellow cover is running;Non-trivial;Redundant Information;1;0;1;0;1;0;0
77CtRWUggp4;4;dog in purple running;Non-trivial;Redundant Information;1;0;1;0;1;0;0
77CtRWUggp4;5;a brown dog is running on top;Non-trivial;Redundant Information;1;0;1;1;1;0;0
77CtRWUggp4;6;black horse running first;Incorrect Referring Expression;Not Applicable;;;;;;;
77CtRWUggp4;7;the greyhound from gate 3 is running in a race;Non-trivial;Redundant Information;0;0;1;1;1;0;0
8BkbsIV2urQ;0;the man is operating a car hydraulics;Trivial (Single Object Category);Not Applicable;;;;;;;
8BkbsIV2urQ;1;blue car jumping up and down;Trivial (Single Object Category);Not Applicable;;;;;;;
8RwjUTGK1dc;0;a ball is jumping up and down;Trivial (Single Object Category);Not Applicable;;;;;;;
8RwjUTGK1dc;1;a guy that watches a ball jumping inside;Trivial (Single Object Category);Not Applicable;;;;;;;
9-60uVOtr-s;0;brown dog walking;Non-trivial;Redundant Information;1;0;1;0;1;0;0
9-60uVOtr-s;1;White dog walking around orange ball;Non-trivial;Redundant Information;1;0;1;1;1;0;0
9-60uVOtr-s;2;orange ball in the blue bowl;Trivial (Single Object Category);Not Applicable;;;;;;;
99WZXw5udrQ;0;the person is walking;Trivial (Single Object Category);Not Applicable;;;;;;;
99WZXw5udrQ;1;dog walking with a woman on the grass;Trivial (Single Object Category);Not Applicable;;;;;;;
9JolVjsR-nI;0;the ball is laying on the ground;Trivial (Single Object Category);Not Applicable;;;;;;;
9JolVjsR-nI;1;white bird rolling on the floor;Trivial (Single Object Category);Not Applicable;;;;;;;
9TusWmKQ5Eo;0;Soldier doing exercises in front of the instructor;Not a Referring Expression;Not Applicable;;;;;;;
9TusWmKQ5Eo;1;man in uniform jumping in the center back;Not a Referring Expression;Not Applicable;;;;;;;
9TusWmKQ5Eo;2;guy directly right from the instructor;Not a Referring Expression;Not Applicable;;;;;;;
9TusWmKQ5Eo;3;a man behind the camera is moving his hand up and down;Not a Referring Expression;Not Applicable;;;;;;;
9wp3M4EUpEQ;0;cat is walking in the room in the front of camera;Non-trivial;Not Applicable;;;;;;;
9wp3M4EUpEQ;1;dotted cat walking away;Non-trivial;Not Applicable;;;;;;;
A0qjudKex9I;0;an orange ball is flying on the air;Trivial (Single Object Category);Not Applicable;;;;;;;
A0qjudKex9I;1;the person is throwing the basketball;Trivial (Single Object Category);Not Applicable;;;;;;;
AGmJ4qUSKQU;0;boy eating pizza on left;Non-trivial;Redundant Information;0;0;1;1;0;0;1
AGmJ4qUSKQU;1;a boy on the right is eating a slice of pizza;Non-trivial;Redundant Information;0;1;1;1;0;0;1
AHPYJgnJ_FI;0;the person with big hair is walking;Non-trivial;Redundant Information;1;0;1;0;1;0;0
AHPYJgnJ_FI;1;the man in a blue shirt is watching a runway show;Non-trivial;Redundant Information;1;0;1;0;0;0;1
AijQ01lsWBc;0;woman in green dress is walking on the street;Non-trivial;Redundant Information;1;0;1;1;1;0;0
AijQ01lsWBc;1;man with a purple backpack walking on the right;Non-trivial;Redundant Information;1;0;1;1;1;0;0
AztMqE3Vc3I;0;a ball is flying on the air;Trivial (Single Object Category);Not Applicable;;;;;;;
AztMqE3Vc3I;1;man throwing a basketball into the basket;Trivial (Single Object Category);Not Applicable;;;;;;;
B8sNJRDRBrg;0;woman crouching next to a man;Trivial (Single Object Category);Not Applicable;;;;;;;
B8sNJRDRBrg;1;man rolling on the mat;Non-trivial;Redundant Information;0;0;1;1;1;0;0
C08RAUZYWVw;0;man in red shirt standing in the middle;Non-trivial;Redundant Information;1;0;1;1;0;0;1
C08RAUZYWVw;1;man in black jumping up and down;Non-trivial;Redundant Information;1;0;1;1;1;0;0
C08RAUZYWVw;2;dark colored car on the left;Non-trivial;Redundant Information;1;0;1;1;0;0;0
C08RAUZYWVw;3;silver car parking on the far right;Non-trivial;Redundant Information;1;0;1;1;0;0;1
CA9xYm7fjwU;0;a man in white shirt is throwing a ball;Trivial (Single Object Category);Not Applicable;;;;;;;
CA9xYm7fjwU;1;an orange ball is jumping up and down;Trivial (Single Object Category);Not Applicable;;;;;;;
CAYdFBPE0Zo;0;a person in black clothes is running;Non-trivial;Redundant Information;1;0;0;0;1;0;0
CAYdFBPE0Zo;1;person in white shirt on the right standing;Not a Referring Expression;Not Applicable;;;;;;;
CAYdFBPE0Zo;2;first woman from the left standing beside the running track;Not a Referring Expression;Not Applicable;;;;;;;
CAYdFBPE0Zo;3;guy in red shirt standing near the track;Non-trivial;Redundant Information;1;0;1;1;0;0;1
CDMN1aQ6I6c;0;a man in suit is walking toward the camera;Not a Referring Expression;Not Applicable;;;;;;;
CDMN1aQ6I6c;1;Woman in red is going on the right;Non-trivial;Redundant Information;1;0;1;1;1;0;0
CaWTbs0aMA8;0;Girl in green shirt is chasing a girl with the ball;Non-trivial;Minimum Information;1;0;1;0;1;1;0
CaWTbs0aMA8;1;White black ball rolling on the grass;Trivial (Single Object Category);Not Applicable;;;;;;;
CaWTbs0aMA8;2;a blue player is running and playing;Not a Referring Expression;Not Applicable;;;;;;;
